@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
366.0, 3128.0, -4531.0, -1283.0, 3117.0, -35.0, 1211.0, -7.0, 859.0, -1906.0, -66.0, -252.0, 1683.0, 1777.0, -2568.0, -2011.0, 1384.0, -619.0, 4193.0, -2332.0, 0
2191.0, 68.0, 452.0, 52.0, 916.0, 1555.0, 736.0, -132.0, 1967.0, -2404.0, 1067.0, 1136.0, 1705.0, 203.0, -542.0, 547.0, -1279.0, 589.0, -1062.0, -896.0, 1
1305.0, 204.0, -394.0, 953.0, 222.0, -1443.0, 5.0, 1049.0, 1833.0, -1816.0, 2768.0, -928.0, -195.0, 1521.0, 3833.0, -193.0, 1984.0, 33.0, -2919.0, -553.0, 0
127.0, -1396.0, -14.0, -343.0, -1101.0, 958.0, 2484.0, -52.0, -1466.0, 1426.0, -1647.0, 1228.0, 3364.0, -882.0, 2381.0, 1419.0, 848.0, 263.0, -2306.0, -1299.0, 0
-434.0, 239.0, -887.0, 808.0, -278.0, -776.0, 826.0, -193.0, 2143.0, -1727.0, 947.0, 1451.0, 29.0, 377.0, 1774.0, 612.0, 304.0, -979.0, 578.0, 842.0, 1
1184.0, -1025.0, 513.0, 672.0, 1486.0, 257.0, 335.0, 2603.0, 158.0, 1151.0, 561.0, 912.0, 927.0, 139.0, 787.0, -35.0, 3.0, -857.0, 562.0, 1147.0, 1
-3264.0, -1188.0, 1477.0, 339.0, 11.0, -1529.0, 978.0, -1864.0, -3376.0, 1053.0, -1986.0, -132.0, 539.0, -393.0, -5536.0, 689.0, 4206.0, 723.0, 1152.0, 1101.0, 0
1667.0, -833.0, -2664.0, 571.0, 1571.0, 344.0, 794.0, 36.0, 381.0, 1536.0, -126.0, 747.0, 55.0, 149.0, 1494.0, 1095.0, -58.0, -1314.0, 522.0, -96.0, 1
44.0, -25.0, 538.0, 47.0, -1415.0, 208.0, -1243.0, 652.0, 93.0, 786.0, -105.0, 1421.0, -278.0, 1222.0, 175.0, 18.0, -48.0, 595.0, -801.0, -115.0, 1
44.0, 1674.0, -876.0, 974.0, 865.0, 135.0, -175.0, -358.0, -94.0, 1853.0, -428.0, -906.0, -392.0, 1685.0, 884.0, 363.0, 1366.0, -676.0, -15.0, 1507.0, 1
1398.0, 68.0, -368.0, 571.0, -1411.0, -19.0, 1262.0, -3436.0, 28.0, 2435.0, 909.0, 144.0, 2094.0, 152.0, 1028.0, 648.0, -137.0, 147.0, 613.0, -348.0, 1
-631.0, -3703.0, -1451.0, -3862.0, -1992.0, 124.0, -183.0, -2146.0, -428.0, -3797.0, 665.0, 268.0, -1942.0, -1633.0, 1386.0, 4.0, 935.0, -1218.0, 4101.0, -667.0, 0
-587.0, 2316.0, -285.0, -994.0, -1052.0, -1249.0, 1032.0, -1661.0, 22.0, 132.0, -736.0, 723.0, -1967.0, 561.0, -1336.0, -2623.0, -296.0, 274.0, -3039.0, 1695.0, 0
3078.0, 328.0, -1782.0, -1425.0, -698.0, -828.0, -1724.0, -644.0, -3044.0, 1196.0, 1395.0, 2392.0, 1001.0, 2518.0, -102.0, 134.0, -1243.0, 1418.0, 2257.0, 1905.0, 0
